threshold,strategy,net_benefit
0.35000000000000003,tabular_only,-0.08158653846153852
0.35000000000000003,fixed_weight,-0.09855769230769237
0.35000000000000003,learned_gate,0.01350961538461537
0.35000000000000003,LACE,0.014759615384615371
0.35000000000000003,HOSPITAL,0.02360576923076923
0.36000000000000004,treat_none,0.0
0.36000000000000004,treat_all,-0.1464843750000001
0.36000000000000004,tabular_only,-0.08625000000000005
0.36000000000000004,fixed_weight,-0.11007812500000005
0.36000000000000004,learned_gate,0.020312499999999983
0.36000000000000004,LACE,0.011874999999999997
0.36000000000000004,HOSPITAL,0.021757812499999994
0.37,treat_none,0.0
0.37,treat_all,-0.1646825396825397
0.37,tabular_only,-0.09433531746031742
0.37,fixed_weight,-0.11857142857142858
0.37,learned_gate,0.026984126984126985
0.37,LACE,0.008898809523809531
0.37,HOSPITAL,0.01985119047619048
0.38,treat_none,0.0
0.38,treat_all,-0.18346774193548387
0.38,tabular_only,-0.09169354838709681
0.38,fixed_weight,-0.12465725806451611
0.38,learned_gate,0.02752016129032258
0.38,LACE,0.0058266129032258085
0.38,HOSPITAL,0.014495967741935487
0.39,treat_none,0.0
0.39,treat_all,-0.20286885245901642
0.39,tabular_only,-0.09595286885245902
0.39,fixed_weight,-0.13621926229508197
0.39,learned_gate,0.024190573770491802
0.39,LACE,0.0026536885245901642
0.39,HOSPITAL,0.013719262295081969
0.4,treat_none,0.0
0.4,treat_all,-0.22291666666666676
0.4,tabular_only,-0.10000000000000003
0.4,fixed_weight,-0.13687500000000008
0.4,learned_gate,0.018958333333333327
0.4,LACE,-0.0006250000000000006
0.4,HOSPITAL,0.012916666666666667
0.41000000000000003,treat_none,0.0
0.41000000000000003,treat_all,-0.2436440677966102
0.41000000000000003,tabular_only,-0.10174788135593221
0.41000000000000003,fixed_weight,-0.14132415254237288
0.41000000000000003,learned_gate,0.018421610169491526
0.41000000000000003,LACE,-0.004014830508474579
0.41000000000000003,HOSPITAL,0.012086864406779661
0.42000000000000004,treat_none,0.0
0.42000000000000004,treat_all,-0.2650862068965518
0.42000000000000004,tabular_only,-0.09887931034482764
0.42000000000000004,fixed_weight,-0.13771551724137937
0.42000000000000004,learned_gate,0.013254310344827581
0.42000000000000004,LACE,-0.0036422413793103445
0.42000000000000004,HOSPITAL,0.011228448275862068
0.43,treat_none,0.0
0.43,treat_all,-0.2872807017543859
0.43,tabular_only,-0.09141447368421055
0.43,fixed_weight,-0.13122807017543853
0.43,learned_gate,0.012423245614035086
0.43,LACE,-0.005778508771929813
0.43,HOSPITAL,0.01033991228070176
0.44,treat_none,0.0
0.44,treat_all,-0.3102678571428572
0.44,tabular_only,-0.08562499999999995
0.44,fixed_weight,-0.12986607142857143
0.44,learned_gate,0.009285714285714284
0.44,LACE,-0.007991071428571424
0.44,HOSPITAL,0.009419642857142859
0.45,treat_none,0.0
0.45,treat_all,-0.3340909090909091
0.45,tabular_only,-0.08011363636363633
0.45,fixed_weight,-0.12261363636363637
0.45,learned_gate,0.004943181818181819
0.45,LACE,-0.010284090909090896
0.45,HOSPITAL,0.008465909090909097
0.46,treat_none,0.0
0.46,treat_all,-0.3587962962962963
0.46,tabular_only,-0.07768518518518519
0.46,fixed_weight,-0.12277777777777779
0.46,learned_gate,0.003425925925925926
0.46,LACE,-0.012662037037037034
0.46,HOSPITAL,0.007476851851851853
0.47000000000000003,treat_none,0.0
0.47000000000000003,treat_all,-0.38443396226415094
0.47000000000000003,tabular_only,-0.07525943396226417
0.47000000000000003,fixed_weight,-0.11761792452830189
0.47000000000000003,learned_gate,0.0023702830188679245
0.47000000000000003,LACE,-0.015129716981132066
0.47000000000000003,HOSPITAL,0.006450471698113209
0.48000000000000004,treat_none,0.0
0.48000000000000004,treat_all,-0.4110576923076924
0.48000000000000004,tabular_only,-0.06980769230769232
0.48000000000000004,fixed_weight,-0.11543269230769229
0.48000000000000004,learned_gate,0.002019230769230769
0.48000000000000004,LACE,-0.017692307692307688
0.48000000000000004,HOSPITAL,0.005384615384615387
0.49,treat_none,0.0
0.49,treat_all,-0.4387254901960784
0.49,tabular_only,-0.06202205882352939
0.49,fixed_weight,-0.10479166666666664
0.49,learned_gate,0.0012745098039215687
0.49,LACE,-0.02035539215686273
0.49,HOSPITAL,0.004276960784313732
